name,slug,value,date_of_information,ranking,region,population
Tajikistan,tajikistan,"502,000",2021,93,Central Asia,"389,878"
Mauritius,mauritius,"464,000",2023,94,Africa,"812,790"
Jamaica,jamaica,"459,000",2023,95,Central America and the Caribbean,"11,119,370"
Jordan,jordan,"451,000",2023,96,Middle East,"10,780,243"
Honduras,honduras,"444,000",2023,97,Central America and the Caribbean,"266,092"
North Macedonia,north-macedonia,"439,000",2022,98,Europe,"532,531"
Senegal,senegal,"399,000",2023,99,Africa,"2,312,620"
West Bank,west-bank,"384,000",2023,100,Middle East,"10,308,981"
Gaza Strip,gaza-strip,"384,000",2023,101,Middle East,"20,514,975"
Kosovo,kosovo,"383,763",2022,102,Europe,"341,548"
Armenia,armenia,"331,000",2023,103,Central Asia,"2,648,422"
Ghana,ghana,"320,000",2023,104,Africa,"3,852,419"
Trinidad and Tobago,trinidad-and-tobago,"311,000",2023,105,Central America and the Caribbean,"1,463,725"
Zimbabwe,zimbabwe,"310,000",2023,106,Africa,"5,398,416"
Mali,mali,"307,000",2022,107,Africa,"3,803,614"
Bangladesh,bangladesh,"302,000",2023,108,South Asia,"968,919"
Georgia,georgia,"278,000",2023,109,Central Asia,"1,908,883"
Cyprus,cyprus,"270,000",2023,110,Europe,"1,123,544"
Luxembourg,luxembourg,"260,000",2022,111,Europe,"636,464"
Malta,malta,"259,000",2023,112,Europe,"542,000"
Bahrain,bahrain,"246,000",2023,113,Middle East,"1,567,000"
Cote d'Ivoire,cote-divoire,"244,000",2023,114,Africa,"29,078,000"
Estonia,estonia,"238,000",2023,115,Europe,"1,331,000"
Nicaragua,nicaragua,"234,000",2023,116,Central America and the Caribbean,"7,053,000"
Lithuania,lithuania,"224,000",2023,117,Europe,"2,756,000"
Paraguay,paraguay,"206,000",2023,118,South America,"7,253,000"
Montenegro,montenegro,"190,000",2023,119,Europe,"620,000"
Kyrgyzstan,kyrgyzstan,"185,000",2023,120,Central Asia,"7,000,000"
Afghanistan,afghanistan,"182,000",2023,121,South Asia,"42,882,000"
Albania,albania,"173,000",2023,122,Europe,"2,790,000"
Papua New Guinea,papua-new-guinea,"166,000",2021,123,East and Southeast Asia,"10,100,000"
Finland,finland,"158,000",2023,124,Europe,"5,540,000"
Sudan,sudan,"156,000",2022,125,Africa,"48,200,000"
Norway,norway,"145,000",2022,126,Europe,"5,510,000"
Latvia,latvia,"142,000",2023,127,Europe,"1,840,000"
French Polynesia,french-polynesia,"139,000",2022,128,Australia and Oceania,"280,000"
Suriname,suriname,"129,000",2023,129,South America,"632,000"
Guyana,guyana,"125,000",2021,130,South America,"808,000"
Brunei,brunei,"122,000",2023,131,East and Southeast Asia,"460,000"
Barbados,barbados,"121,000",2022,132,Central America and the Caribbean,"281,000"
Uganda,uganda,"116,000",2023,133,Africa,"48,400,000"
Nigeria,nigeria,"112,000",2023,134,Africa,"237,500,000"
"Bahamas, The",bahamas-the,"97,000",2023,135,Central America and the Caribbean,"408,000"
Somalia,somalia,"91,000",2022,136,Africa,"18,700,000"
Botswana,botswana,"90,000",2023,137,Africa,"2,700,000"
Angola,angola,"87,000",2023,138,Africa,"36,800,000"
Macau,macau,"87,000",2023,139,East and Southeast Asia,"700,000"
Iceland,iceland,"82,000",2023,140,Europe,"388,000"
Burkina Faso,burkina-faso,"81,000",2021,141,Africa,"24,500,000"
Zambia,zambia,"81,000",2023,142,Africa,"21,000,000"
Namibia,namibia,"81,000",2023,143,Africa,"2,600,000"
Tanzania,tanzania,"76,000",2023,144,Africa,"67,800,000"
Virgin Islands,virgin-islands,"76,000",2021,145,Central America and the Caribbean,"87,000"
Guam,guam,"70,000",2021,146,Australia and Oceania,"170,000"
Kenya,kenya,"68,000",2023,147,Africa,"56,200,000"
Togo,togo,"67,000",2023,148,Africa,"9,400,000"
Eritrea,eritrea,"66,000",2021,149,Africa,"3,800,000"
"Gambia, The",gambia-the,"60,000",2021,150,Africa,"2,700,000"
Cabo Verde,cabo-verde,"60,000",2023,151,Africa,"600,000"
Niger,niger,"58,000",2021,152,Africa,"28,000,000"
Andorra,andorra,"52,000",2023,153,Europe,"80,000"
Curacao,curacao,"51,000",2022,154,Central America and the Caribbean,"190,000"
Fiji,fiji,"49,000",2021,155,Australia and Oceania,"940,000"
Jersey,jersey,"48,122",2021,156,Europe,"110,000"
Mauritania,mauritania,"48,000",2022,157,Africa,"5,100,000"
New Caledonia,new-caledonia,"46,000",2021,158,Australia and Oceania,"290,000"
Monaco,monaco,"43,000",2023,159,Europe,"40,000"
Gabon,gabon,"43,000",2022,160,Africa,"2,400,000"
Eswatini,eswatini,"42,000",2023,161,Africa,"1,200,000"
Cambodia,cambodia,"38,000",2022,162,East and Southeast Asia,"1,200,000"
Cayman Islands,cayman-islands,"36,000",2021,163,Central America and the Caribbean,"17,600,000"
Aruba,aruba,"35,000",2021,164,Central America and the Caribbean,"69,000"
Guernsey,guernsey,"33,930",2021,165,Europe,"110,000"
Saint Lucia,saint-lucia,"31,000",2022,166,Central America and the Caribbean,"184,000"
Djibouti,djibouti,"29,000",2023,167,Africa,"2,400,000"
Mozambique,mozambique,"29,000",2022,168,Africa,"410,000"
Antigua and Barbuda,antigua-and-barbuda,"27,000",2021,169,Central America and the Caribbean,"36,000,000"
Bermuda,bermuda,"25,000",2021,170,North America,"100,000"
British Virgin Islands,british-virgin-islands,"23,000",2021,171,Central America and the Caribbean,"64,000"
Northern Mariana Islands,northern-mariana-islands,"20,000",2021,172,Australia and Oceania,"32,000"
Belize,belize,"19,000",2021,173,Central America and the Caribbean,"50,000"
Bhutan,bhutan,"18,000",2023,174,South Asia,"450,000"
Seychelles,seychelles,"18,000",2023,175,Africa,"770,000"
Grenada,grenada,"17,000",2022,176,Central America and the Caribbean,"110,000"
"Congo, Republic of the",congo-republic-of-the,"17,000",2020,177,Africa,"1,250,000"
Gibraltar,gibraltar,"17,000",2022,178,Europe,"34,000"
San Marino,san-marino,"16,000",2022,179,Europe,"54,000"
Saint Kitts and Nevis,saint-kitts-and-nevis,"16,000",2022,180,Central America and the Caribbean,"55,000"
Faroe Islands,faroe-islands,"15,000",2021,181,Europe,"54,000"
Burundi,burundi,"14,000",2023,182,Africa,"12,800,000"
Maldives,maldives,"13,000",2023,183,South Asia,"520,000"
Equatorial Guinea,equatorial-guinea,"11,000",2022,184,Africa,"1,700,000"
Tonga,tonga,"11,000",2021,185,Australia and Oceania,"108,000"
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,"10,000",2023,186,Central America and the Caribbean,"110,000"
American Samoa,american-samoa,"10,000",2021,187,Australia and Oceania,"39,000"
Liechtenstein,liechtenstein,"10,000",2023,188,Europe,"870,000"
Comoros,comoros,"9,000",2023,189,Africa,"13,800,000"
Rwanda,rwanda,"8,000",2023,190,Africa,"18,000"
Palau,palau,"8,000",2023,191,Australia and Oceania,"17,000"
Cook Islands,cook-islands,"7,000",2021,192,Australia and Oceania,"2,400,000"
Lesotho,lesotho,"7,000",2023,193,Africa,"750,000"
Solomon Islands,solomon-islands,"7,000",2021,194,Australia and Oceania,"72,000"
Dominica,dominica,"7,000",2021,195,Central America and the Caribbean,"105,000"
"Micronesia, Federated States of",micronesia-federated-states-of,"7,000",2021,196,Australia and Oceania,"200,000"
Greenland,greenland,"6,000",2020,197,North America,"160,000"
Anguilla,anguilla,"6,000",2021,198,Central America and the Caribbean,"40,000"
Liberia,liberia,"6,000",2021,199,Africa,"50,000"
Haiti,haiti,"6,000",2021,200,Central America and the Caribbean,"13,500,000"
Samoa,samoa,"5,000",2022,201,Australia and Oceania,"56,000"
Malawi,malawi,"5,000",2023,202,Africa,"5,300,000"
Chad,chad,"5,000",2022,203,Africa,"12,500,000"
Saint Pierre and Miquelon,saint-pierre-and-miquelon,"4,800",2015,204,North America,"6,000"
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,"4,000",2021,205,Africa,"5,500"
Turks and Caicos Islands,turks-and-caicos-islands,"4,000",2021,206,Central America and the Caribbean,"46,000"
Wallis and Futuna,wallis-and-futuna,"3,000",2021,207,Australia and Oceania,"11,500"
Vanuatu,vanuatu,"3,000",2022,208,Australia and Oceania,"334,000"
Madagascar,madagascar,"3,000",2023,209,Africa,"30,000,000"
Montserrat,montserrat,"3,000",2020,210,Central America and the Caribbean,"4,900"
Timor-Leste,timor-leste,"2,000",2023,211,East and Southeast Asia,"1,400,000"
Marshall Islands,marshall-islands,"2,000",2014,212,Australia and Oceania,"42,000"
Central African Republic,central-african-republic,"2,000",2021,213,Africa,"5,800,000"
Tuvalu,tuvalu,"2,000",2021,214,Australia and Oceania,"12,000"
Falkland Islands (Islas Malvinas),falkland-islands-islas-malvinas,"2,000",2021,215,South America,"3,500"
Sao Tome and Principe,sao-tome-and-principe,"2,000",2023,216,Africa,"230,000"
Benin,benin,"1,000",2023,217,Africa,"13,900,000"
Niue,niue,"1,000",2021,218,Australia and Oceania,"1,700"
Tokelau,tokelau,300,2010,219,Australia and Oceania,"1,700"
Guinea-Bissau,guinea-bissau,0,2022,220,Africa,"2,100,000"
Guinea,guinea,0,2021,221,Africa,"14,000,000"
Sierra Leone,sierra-leone,0,2021,222,Africa,"8,600,000"
Kiribati,kiribati,0,2023,223,Australia and Oceania,"130,000"
Nauru,nauru,0,2019,224,Australia and Oceania,"12,000"
South Sudan,south-sudan,0,2023,225,Africa,"11,000,000"
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,0,2021,226,Africa,"113,000,000"
